NiceForNow Configuration,Tất Cả
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Loại tệp được phép: ico, png, gif, jpg, jpeg, apng. Không phải tất cả các trình duyệt đều hỗ trợ tất cả các định dạng này!"
Favicon Icon,Biểu tượng yêu thích
Default Page Title,Tiêu đề trang mặc định
Page Title Prefix,Tiền tố tiêu đề trang
Page Title Suffix,Hậu tố Tiêu đề Trang
Default Meta Description,Mô tả meta mặc định
Default Meta Keywords,Từ khóa meta mặc định
This will be included before head closing tag in page HTML.,Điều này sẽ được bao gồm trước khi đóng cửa từ khóa trong trang HTML.
Scripts and Style Sheets,Scripts và Style trang tính
Display Demo Store Notice,Thông báo màn hình giới thiệu cửa hàng
"Allowed file types: png, gif, jpg, jpeg.","Loại tệp được phép: png, gif, jpg, jpeg."
Logo Attribute Width,Chiều rộng Logo thuộc tính
Logo Attribute Height,Chiều cao Logo thuộc tính
Welcome Text,Chào mừng bạn đến văn bản
This will be displayed just before the body closing tag.,Điều này sẽ được hiển thị ngay trước khi đóng thể nội dung.
Miscellaneous HTML,Hỗn hợp HTML
Copyright,Bản quyền
Default Robots,Mặc định robot
Edit custom instruction of robots.txt File,Chỉnh sửa các hướng dẫn tùy chỉnh của tệp tin robots.txt
This action will delete your custom instructions and reset robots.txt file to system's default settings.,Hành động này sẽ xóa bỏ hướng dẫn tùy chỉnh của bạn và thiết lập lại các tập tin robots.txt thiết đặt mặc định của hệ thống.
Reset To Defaults,Đặt lại về mặc định
Skip to Content,Chuyển đến nội dung
Exception does not contain field '%1',Ngoại lệ không chứa trường '%1'
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Cho phép các loại tập tin: ICO PNG, GIF, JPG, JPEG, APNG, SVG. Không phải tất cả các trình duyệt đều hỗ trợ tất cả các định dạng!"
Title Suffix,Tiêu đề hậu tố
Default Description,Mô tả mặc định
Default Keywords,Từ khóa mặc định
Miscellaneous Scripts,Các kịch bản khác
Search Engine Robots,Tìm kiếm robot
Logo Image Width,Biểu tượng hình ảnh rộng
Logo Image Height,Biểu tượng hình ảnh chiều cao
This will be displayed just before body closing tag.,Điều này sẽ được hiển thị ngay trước khi đóng thể nội dung.
Copyright © 2015 Magento. All rights reserved.,Tất cả các bản quyền © 2015 thuộc về Magento.
Wrong request.,Yêu cầu sai.
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. All rights reserved."
"Copyright © 2017 Magento, Inc. All rights reserved.","Bản quyền © năm 2017 Magento, Inc Tất cả các quyền."
"Allowed file types: png, gif, jpg, jpeg, svg.","Cho phép các loại tập tin: png, gif, jpg, jpeg, svg."
Copyright © 2016 Magento. All rights reserved.,Tất cả các bản quyền © 2016 thuộc về Magento.
Display Report Bugs Link,Hiển thị liên kết báo cáo lỗi
The scope or scope ID is invalid. Verify both and try again.,Phạm vi hoặc ID phạm vi không hợp lệ. Xác minh cả hai và thử lại.
"The backend model isn't specified for ""%1"".","Mô hình phụ trợ không được chỉ định cho ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","Mẫu ""%templateName"" chứa cấu hình không chính xác, có tham chiếu đến chính nó. Xóa hoặc thay đổi tham chiếu, sau đó thử lại."
The config can't be saved because it's empty. Complete the config and try again.,Không thể lưu cấu hình vì nó trống. Hoàn tất cấu hình và thử lại.
This is a demo store. No orders will be fulfilled.,Đây là cửa hàng thử nghiệm. Không có đơn đặt hàng sẽ được thực hiện.
Not all browsers support all these formats!,Không phải tất cả các trình duyệt đều hỗ trợ tất cả các định dạng này!
TinyMCE 3 (deprecated),TinyMCE 3 (không dùng nữa)
Dictionary (Translation on Storefront side),Từ điển (dịch bên cửa hàng)
Embedded (Translation on Admin side),Nhúng (bản dịch bên Admin)
"Error while translating phrase ""%s"" in file %s.","Lỗi trong khi dịch cụm từ ""%s"" trong file %s."
"Error while generating js translation dictionary: ""%s""","Lỗi khi tạo js dịch từ điển: ""%s"""
Translation Strategy,Chiến lược dịch
Translations,Bản dịch
Translation files,Các file bản dịch
Translation files.,Các file bản dịch.
Please put your store into maintenance mode and redeploy static files after changing strategy,Hãy đặt cửa hàng của bạn vào chế độ bảo dưỡng và tái triển khai tĩnh tệp sau khi thay đổi chiến lược
"Condition type ""%1"" is not allowed","Điều kiện loại ""%1"" là không được phép"
"The configuration parameter ""formElement"" is a required for ""%1"" field.","Các tham số cấu hình ""Yếu tố chính"" là một yêu cầu dành cho trường ""%1""."
Remove %1,Loại bỏ %1
Add New %1,Thêm mới %1
Unsupported bookmark action.,Hành động không được hỗ trợ đánh dấu.
UI component could not be rendered because of system exception,UI component không thể được hiển thị vì ngoại lệ hệ thống
"Parameter ""class"" must be present.","Tham số ""lớp"" phải có mặt."
"Parameter ""sortOrder"" must be present.","Tham số ""sắp xếp thứ tự"" phải có mặt."
Invalid UI Component element name: '%1',Tên yếu tố thành phần giao diện IU không hợp lệ: '%1'
"Bookmark with id ""%1"" does not exist.","Đánh dấu Id ""%1"" không tồn tại."
Invalid UI Component element name: '',"Tên yếu tố thành phần giao diện IU không hợp lệ: """
Filters,Bộ lọc
Select All on This Page,Chọn tất cả trên Trang này
Deselect All on This Page,Bỏ chọn tất cả trên Trang này
Go to Details Page,Đi tới trang chi tiết
New View,Xem kiểu mới
Default View,Xem kiểu mặc định
You have successfully saved your edits.,Bạn đã lưu chỉnh sửa thành công.
There are {placeholder} messages requires your attention.,Có {placeholder} tin nhắn yêu cầu bạn chú ý.
You haven't selected any items!,Bạn chưa chọn bất kỳ mục nào!
Search by keyword,Tìm kiếm theo từ khóa
Please enter more or equal than {0} symbols.,Vui lòng nhập nhiều hơn hoặc bằng {0} biểu tượng.
Please enter less or equal than {0} symbols.,Vui lòng nhập ít hơn hoặc bằng {0} biểu tượng.
Please enter {0} words or less.,Vui lòng nhập {0} từ hoặc ít hơn.
Please enter at least {0} words.,Vui lòng nhập ít nhất {0} từ.
Please enter between {0} and {1} words.,Vui lòng nhập giữa {0} và {1} từ.
Letters or punctuation only please,Hãy chỉ dùng Chữ cái hoặc các dấu chấm câu
"Letters, numbers, spaces or underscores only please","Hãy chỉ dùng Chữ cái, số, dấu cách trống hoặc gạch chân"
Letters only please,Hãy chỉ dùng Chữ cái
No white space please,Không dùng cách trống
Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx,Mã vùng của bạn phải ở trong phạm vi 902xx-xxxx đến 905-xx-xxxx
A positive or negative non-decimal number please,Hãy nhập Một số không có phần thập phân âm hoặc dương
The specified vehicle identification number (VIN) is invalid.,Số nhận dạng đã chỉ định phương tiện (VIN) là không hợp lệ.
Please enter a correct date,Vui lòng nhập đúng ngày
Vul hier een geldige datum in.,Vul hier een geldige datum in.
"Please enter a valid time, between 00:00 and 23:59","Vui lòng nhập một thời gian hợp lệ, từ 00:00 đến 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Vui lòng nhập một thời gian hợp lệ, từ 00:00 am đến 12:00 pm"
Please specify a valid phone number,Hãy chỉ định số điện thoại hợp lệ
Please specify a valid mobile number,Hãy nhập số điện thoại di động hợp lệ
Please enter at least {0} characters,Vui lòng nhập ít nhất {0} ký tự
Please enter a valid IP v4 address.,Vui lòng nhập một địa chỉ IP v4 hợp lệ.
Please enter a valid IP v6 address.,Vui lòng nhập một địa chỉ IP v6 hợp lệ.
Invalid format.,Định dạng không hợp lệ.
HTML tags are not allowed.,Thẻ HTML không được phép.
Please select an option.,Hãy chọn một tùy chọn.
Empty Value.,Giá trị trống.
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Vui lòng chỉ dùng các ký tự (a-z or A-Z), số (0-9) hoặc dấu cách trong vùng này."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Hãy sử dụng chỉ chữ cái (a-z or A-Z), số (0-9) hoặc gạch chân(_) trong trường này, ký tự đầu tiên nên là một chữ cái."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Hãy chỉ sử dụng chữ cái (a-z hoặc A-Z), số (0-9), cách trống và ""#"" trong trường này."
Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.,Vui lòng nhập một số điện thoại hợp lệ. ví dụ: (123) 456-7890 hoặc 123-456-7890.
Please enter a valid fax number (Ex: 123-456-7890).,Vui lòng nhập một số fax hợp lệ (ví dụ: 123-456-7890).
Please enter a valid email address (Ex: johndoe@domain.com).,Vui lòng nhập một địa chỉ email hợp lệ (ví dụ: johndoe@domain.com).
Please enter 6 or more characters. Leading and trailing spaces will be ignored.,Vui lòng nhập 6 kí tự trở lên. Hàng đầu và chuỗi dấu cách sẽ bị bỏ qua.
"Please enter 7 or more characters, using both numeric and alphabetic.","Hãy nhập 7 ký tự hoặc nhiều hơn, bằng cách sử dụng cả số và chữ."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Vui lòng nhập một URL hợp lệ. Giao thức là bắt buộc (http://, https:// hoặc ftp: / /)."
Please enter a valid URL. For example http://www.example.com or www.example.com.,Vui lòng nhập một URL hợp lệ. ví dụ http://www.example.com hoặc www.example.com.
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Vui lòng nhập một nhận dạng XML hợp lệ (ví dụ: something_1, block5, id-4)."
Please enter a valid social security number (Ex: 123-45-6789).,Vui lòng nhập một số an sinh xã hội hợp lệ (ví dụ: 123-45-6789).
Please enter a valid zip code (Ex: 90602 or 90602-1234).,Vui lòng nhập mã bưu chính hợp lệ (ví dụ: 90602 hoặc 90602-1234).
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Hãy sử dụng định dạng ngày tháng này: dd/mm/yyyy. Ví dụ: 17/03/2006 cho 17 Tháng ba, 2006."
Please enter a valid $ amount. For example $100.00.,"Vui lòng nhập một số tiền hợp lệ. Ví dụ: 100,00 $."
Please enter a number greater than 0 in this field.,Vui lòng nhập một số lớn hơn 0 trong trường này.
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Hãy nhập vào CSS hợp lệ, chiều dài (ví dụ: 100px, 77pt, 20em, .5ex hoặc 50%)."
Please enter a valid integer in this field.,Vui lòng nhập một số nguyên hợp lệ vào trường này.
The value is not within the specified range.,Giá trị không phải là trong phạm vi được chỉ định.
Please use letters only (a-z or A-Z) in this field.,Hãy sử dụng chữ cái (a-z hoặc A-Z) trong trường này.
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Hãy sử dụng chỉ chữ cái (a-z), số (0-9) hoặc gạch chân(_) trong trường này, ký tự đầu tiên nên là một chữ cái."
Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.,Hãy sử dụng chữ cái (a-z hoặc A-Z) hoặc số (0-9) trong trường này. Không có dấu cách hoặc ký tự khác được cho phép.
